run_id,run_order,circuit_family,input_circuit_sha256,n_qubits,listing_model,rule_set,window_gates,budget_seconds,status,valid_equivalent_output,time_to_first_valid_seconds,time_to_best_seconds,first_valid_event_index,best_event_index,event_count,input_gate_count,best_valid_gate_count,best_valid_reduction_pct_itt,cell_receipt_sha256
e32-9e9fd08c9d27974ce3589006,40,IQP,0ea94971bc42ea5f21350b8ee791f5ddd3a86cabd0502a4f2ecd331789793740,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.4102215,1.4102215,4,4,7,45,30,33.333333333333336,b466cd37ed5616c6fc6d48b486f470fb9e2a90f02ba5b7957e3999075d850427
e32-7d9dd4c93d483fc889a89eff,41,IQP,0ea94971bc42ea5f21350b8ee791f5ddd3a86cabd0502a4f2ecd331789793740,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.7105511,1.7105511,4,4,7,45,30,33.333333333333336,eb3c36f9131616ea2df51ab270eed5eb4b6179c50688b5109e2f7e5a1a07254d
e32-a398fa40572f59d0c9158dfd,42,Oracle,50b395729f861742949308b817a01e0a10080914e86479b908b73eb2a45bdba8,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.2296094,1.2296094,4,4,7,20,10,50.0,bbc1e5be14d853f62d73baa81b934248386346f213e6c00c0d08d2c5e86c1ef2
e32-883c6a2927850ade7f362c7b,43,Oracle,50b395729f861742949308b817a01e0a10080914e86479b908b73eb2a45bdba8,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1883075,1.1883075,4,4,7,20,4,80.0,ef278c6a2ba19697544b1fe208cb5399eb72b7b12905e935f2fe274e81939fb8
e32-01f24f79f2ebdda2ce15b3b9,44,Oracle,50b395729f861742949308b817a01e0a10080914e86479b908b73eb2a45bdba8,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.2571848,1.2571848,4,4,7,20,10,50.0,9d3ae20d02f8b559d8db253be2aacc36096f659500425dad7bda5c8c5c0fbedb
e32-9d8ee65b85eb47889befeb6d,45,Oracle,50b395729f861742949308b817a01e0a10080914e86479b908b73eb2a45bdba8,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2571427,1.2571427,4,4,7,20,4,80.0,31f65021b15045ac7a0a76525595e7bb85fab04317886174a67cc690802a3fc5
e32-7b813ace0f2652ac0f9d3ee3,46,Oracle,50b395729f861742949308b817a01e0a10080914e86479b908b73eb2a45bdba8,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.187877,1.187877,4,4,7,20,10,50.0,2a8c555f2390aa18a87937260aef67bce9558a3ee69730e9b0cd2b9919d13d84
e32-9a5acf65407b7cb94e20d7ed,47,Oracle,50b395729f861742949308b817a01e0a10080914e86479b908b73eb2a45bdba8,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1586005,1.1586005,4,4,7,20,4,80.0,d533140a7e099137f5ded9db444f341ce62628fdac0ed49dde8e907d49887d55
e32-d9c06f28d1e854c59315da31,48,QAOA,0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.3601962,1.3601962,4,4,6,66,66,0.0,452302b400767a36a641f6beb07ff811ff7223e3b2aeac9a2b7857b103124a2e
e32-d6e12ec1b26ab299957005fb,49,QAOA,0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.3620377,1.3620377,4,4,6,66,66,0.0,0385f54ea3dacffc61e1d0fe884bba4d35597f9cb9158278f77bdff8bdafaa97
e32-6f702804273cbbb984113aad,50,QAOA,0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.4238537,1.4238537,4,4,6,66,66,0.0,8f481ebdf97a14de522104558fa5ec5bc87a537f33b938baa344af790d20ad27
e32-fd8fb8a45be28cd0b75d9683,51,QAOA,0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.5146904,1.5146904,4,4,6,66,66,0.0,894f47ddd44165ebc6deae2235b782d4429328ea9ca63910464deb229a8d5ae0
e32-7d007ece606e7904e8c96e61,52,QAOA,0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.3385764,1.3385764,4,4,6,66,66,0.0,9d92b1cef1f1156f698ab4196878c4135a0fc28600485df40e420818d12868e8
e32-0f426ede90bab2cd6bd69a51,53,QAOA,0080a63f816f580541538093d5448ae336ed333ac6933bc71da115de0011b707,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.3446151,1.3446151,4,4,6,66,66,0.0,0fb1cc1ad474ec675bad4f0236c3800520041103ead35754907faf95141009be
e32-7474b8b7c57211011f6a30cb,54,QFT,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.4509401,1.4509401,4,4,6,36,36,0.0,56f0f00817131e21c69d5a64affd17d8b9d8534fb2d04c041f59283748244e91
e32-911bfb36119cb42e4d44e8f9,55,QFT,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2991546,1.2991546,4,4,6,36,36,0.0,0233254453034aeacd7de46d24937d3e8586697b9c509c238e13569e79e41a28
e32-061ec4e40b7bfb873d6ae687,56,QFT,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.2976867,1.2976867,4,4,6,36,36,0.0,61b8f5c810b17af6b66e627a0f0e6988fbeec65ffdc5ce0c00200ef1a50120ec
e32-f4a7bdd7c07d99f205301d59,57,QFT,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.20999,1.20999,4,4,6,36,36,0.0,094fd5aa11c7be14853fadb52ce2542d7abb33b431ac0727dfbbb7c7a003d270
e32-727d951c92910663e6eb2d3a,58,QFT,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.2390266,1.2390266,4,4,6,36,36,0.0,f4006dddecd05427d76dedc8b977b56c4e479abd5f1386d64ced5fa4fd24994a
e32-b3d5216957d028dbea19be34,59,QFT,b2f83603b76f95e86e3b51898d6ea360adf3a62f51aa296baf0178913d4108b2,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2907588,1.2907588,4,4,6,36,36,0.0,13e6032dd2674d82bf975516124b4fd6a72f6b3da4936661a33676a1afa9fa9a
e32-c6c5be9051585da078405007,60,QuantumWalk,0b12314b8f546448b63ec916582bdcd18c8f92e57f6756737f55de986300e4e8,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,27.9846277,27.9846277,4,4,7,7156,6970,2.5992174399105616,bb3a057cb42562cced3cfa39a803b21cbd46bdf60ee653ff5a84d2aa853d26a0
e32-ff4016b214be7ecd851f15d5,61,QuantumWalk,0b12314b8f546448b63ec916582bdcd18c8f92e57f6756737f55de986300e4e8,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,28.5711084,28.5711084,4,4,7,7156,6970,2.5992174399105616,1baf0b742affcc739bf6a67184e8a4188e71d2d171cbf8ef044bd6c9cf819c00
e32-5f6134a0ddff10b4ef0ce28f,62,QuantumWalk,0b12314b8f546448b63ec916582bdcd18c8f92e57f6756737f55de986300e4e8,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,28.6598051,28.6598051,4,4,7,7156,6970,2.5992174399105616,933d34ef373ccd0ec85671fbceb4b31f96b37ba36f53dea2c269cd2c9e48d152
e32-f800dd109150f8de9817db56,63,QuantumWalk,0b12314b8f546448b63ec916582bdcd18c8f92e57f6756737f55de986300e4e8,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,30.0274384,30.0274384,4,4,7,7156,6970,2.5992174399105616,78fdb21778787b1355ae0ea8291aa11cce22e1b51d59890621b8d45d05e5d8fb
e32-bdd1058c853719a08f1289f8,64,QuantumWalk,0b12314b8f546448b63ec916582bdcd18c8f92e57f6756737f55de986300e4e8,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,28.4163049,41.718206,4,5,8,7156,6964,2.683063163778643,1b636cb34e2612797c385ee72c5f51f897362eac5fb3acf6d9809d214681d936
e32-71caa0931fdc4b93a8a5e45d,65,QuantumWalk,0b12314b8f546448b63ec916582bdcd18c8f92e57f6756737f55de986300e4e8,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,timeout,False,,,,,0,,,0.0,e7923918242a6d1795a577371d9b2b32c63198f8b8ea7462a31947f128534bf1
e32-8219ee8141c777eeea108c38,66,RandomClifford,28fa1a35d35427a92d30c622a80840edaaf759c54c7873b8ef1ace832c84a0de,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.3623651,1.4543841,4,5,8,52,33,36.53846153846154,69573e9e8f7621c85bc09e329669f6864362f2f4f12f010cc0b7c1020feea3d8
e32-196dcfb71e435e16e9da4180,67,RandomClifford,28fa1a35d35427a92d30c622a80840edaaf759c54c7873b8ef1ace832c84a0de,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.367658,1.441271,4,5,8,52,33,36.53846153846154,7c610c150b101a5af0274ddb9db2fc27bad5f87ee1a0972ebd1ca5d42090d8c9
e32-24a9451871b9fde4c18acc9e,68,RandomClifford,28fa1a35d35427a92d30c622a80840edaaf759c54c7873b8ef1ace832c84a0de,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.1442156,1.1442156,4,4,7,52,32,38.46153846153846,e3fa85ce31d4b327582625a254b8da025681f1ea41d7be3a768b1c4af522dea2
e32-10fddc69ec001b48a3923387,69,RandomClifford,28fa1a35d35427a92d30c622a80840edaaf759c54c7873b8ef1ace832c84a0de,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2042772,1.2042772,4,4,7,52,32,38.46153846153846,b47ac32d584159d963ae9e6e1b1319fb60fcb1287be3aa74152f9380260df85f
e32-d5532aa685bc1ba3722ff043,70,RandomClifford,28fa1a35d35427a92d30c622a80840edaaf759c54c7873b8ef1ace832c84a0de,8,RANDOM_TOPOLOGICAL,COMMUTATION_ONLY,16,60.0,success,True,1.2544151,1.3299376,4,5,8,52,32,38.46153846153846,73d77721316c9bd960b69f0ac1d18ad5ed19b316b7a3e626cba5293d4d849d90
e32-b9bc05df53f6b581d6c8a0eb,71,RandomClifford,28fa1a35d35427a92d30c622a80840edaaf759c54c7873b8ef1ace832c84a0de,8,RANDOM_TOPOLOGICAL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.2691253,1.34316,4,5,8,52,32,38.46153846153846,67187e7af65d045ed9a9367a69bded04f9785dfc8fc4cf862750e78a32a267da
e32-ba9e427b5fa3b9ac8ae32124,72,SurfaceCode,14da3f908abda6229c65d0aec602aaf53fad733479c969be7e0504eaa5dacae0,8,LBL,COMMUTATION_ONLY,16,60.0,success,True,1.151556,1.151556,4,4,6,11,11,0.0,04cb4c12305ccb89b8ddbab04242de56938924dc99fdc43b777dceb1e7b29070
e32-9b71f69070a987330b8a178a,73,SurfaceCode,14da3f908abda6229c65d0aec602aaf53fad733479c969be7e0504eaa5dacae0,8,LBL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.1529244,1.1529244,4,4,6,11,11,0.0,492bb48610fc979a3dc3046d76140831125a18454abc828de11c7673ff1c91d0
e32-dc4182c127e5786a8b7e0032,74,SurfaceCode,14da3f908abda6229c65d0aec602aaf53fad733479c969be7e0504eaa5dacae0,8,WCL,COMMUTATION_ONLY,16,60.0,success,True,1.3035882,1.3035882,4,4,6,11,11,0.0,d2e05f891bfd3713bc0326dd13374097256cfeb5b0ee91146dcd009694eab3a0
e32-f9b08b6e8d9af9168611923b,75,SurfaceCode,14da3f908abda6229c65d0aec602aaf53fad733479c969be7e0504eaa5dacae0,8,WCL,COMMUTATION_PLUS_TEMPLATES,16,60.0,success,True,1.0718591,1.0718591,4,4,6,11,11,0.0,afcae32bca4b003beabde7fe260a0c979b2afcd08012574db8ef4008feb940c1
