optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
greedy_phase1,28,28,0.0,0.9999999999999969,True,0.0010006427764892578,E10_real_variance,QFT,7,13,7,1,142,28
commutation_phase2,28,28,0.0,0.9999999999999969,True,0.0041046142578125,E10_real_variance,QFT,7,13,7,1,142,28
hybrid_phase1_2,28,28,0.0,0.9999999999999969,True,0.051928043365478516,E10_real_variance,QFT,7,13,7,1,142,28
template_phase2b,28,28,0.0,0.9999999999999969,True,0.0029997825622558594,E10_real_variance,QFT,7,13,7,1,142,28
greedy_phase1,28,28,0.0,0.9999999999999969,True,0.001974344253540039,E10_real_variance,QFT,7,13,7,2,242,28
commutation_phase2,28,28,0.0,0.9999999999999969,True,0.0040013790130615234,E10_real_variance,QFT,7,13,7,2,242,28
hybrid_phase1_2,28,28,0.0,0.9999999999999969,True,0.05200314521789551,E10_real_variance,QFT,7,13,7,2,242,28
template_phase2b,28,28,0.0,0.9999999999999969,True,0.0030150413513183594,E10_real_variance,QFT,7,13,7,2,242,28
greedy_phase1,28,28,0.0,0.9999999999999969,True,0.0009961128234863281,E10_real_variance,QFT,7,13,7,3,342,28
commutation_phase2,28,28,0.0,0.9999999999999969,True,0.003998756408691406,E10_real_variance,QFT,7,13,7,3,342,28
hybrid_phase1_2,28,28,0.0,0.9999999999999969,True,0.055103302001953125,E10_real_variance,QFT,7,13,7,3,342,28
template_phase2b,28,28,0.0,0.9999999999999969,True,0.003024578094482422,E10_real_variance,QFT,7,13,7,3,342,28
greedy_phase1,28,28,0.0,0.9999999999999969,True,0.0020112991333007812,E10_real_variance,QFT,7,13,7,4,442,28
commutation_phase2,28,28,0.0,0.9999999999999969,True,0.003999471664428711,E10_real_variance,QFT,7,13,7,4,442,28
hybrid_phase1_2,28,28,0.0,0.9999999999999969,True,0.052791595458984375,E10_real_variance,QFT,7,13,7,4,442,28
template_phase2b,28,28,0.0,0.9999999999999969,True,0.002999544143676758,E10_real_variance,QFT,7,13,7,4,442,28
greedy_phase1,3,3,0.0,0.9999999999999996,True,0.0010137557983398438,E10_real_variance,GHZ,3,3,3,0,42,3
commutation_phase2,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,0,42,3
hybrid_phase1_2,3,3,0.0,0.9999999999999996,True,0.001994609832763672,E10_real_variance,GHZ,3,3,3,0,42,3
template_phase2b,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,0,42,3
greedy_phase1,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,1,142,3
commutation_phase2,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,1,142,3
hybrid_phase1_2,3,3,0.0,0.9999999999999996,True,0.001997232437133789,E10_real_variance,GHZ,3,3,3,1,142,3
template_phase2b,3,3,0.0,0.9999999999999996,True,0.0010001659393310547,E10_real_variance,GHZ,3,3,3,1,142,3
greedy_phase1,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,2,242,3
commutation_phase2,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,2,242,3
hybrid_phase1_2,3,3,0.0,0.9999999999999996,True,0.001950979232788086,E10_real_variance,GHZ,3,3,3,2,242,3
template_phase2b,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,2,242,3
greedy_phase1,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,3,342,3
commutation_phase2,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,3,342,3
hybrid_phase1_2,3,3,0.0,0.9999999999999996,True,0.0020024776458740234,E10_real_variance,GHZ,3,3,3,3,342,3
template_phase2b,3,3,0.0,0.9999999999999996,True,0.0010101795196533203,E10_real_variance,GHZ,3,3,3,3,342,3
greedy_phase1,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,4,442,3
commutation_phase2,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,4,442,3
hybrid_phase1_2,3,3,0.0,0.9999999999999996,True,0.002981901168823242,E10_real_variance,GHZ,3,3,3,4,442,3
template_phase2b,3,3,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,3,3,3,4,442,3
greedy_phase1,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,0,42,4
commutation_phase2,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,0,42,4
hybrid_phase1_2,4,4,0.0,0.9999999999999996,True,0.003589153289794922,E10_real_variance,GHZ,4,4,4,0,42,4
