experiment,run_id,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,20,6,6,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999984,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999984,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999984,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,10,4,4,0.0,1.0,exact,True,0.0010445117950439453,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999996,exact,True,0.0010006427764892578,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0009822845458984375,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999983,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999983,exact,True,0.0009984970092773438,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999983,exact,True,0.0009999275207519531,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999993,exact,True,0.0010449886322021484,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999993,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999993,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999991,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999991,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999991,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,1.0,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,1.0,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,1.0,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,0.9999999999999996,exact,True,0.0010004043579101562,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,0.9999999999999996,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,0.9999999999999996,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,10,4,4,0.0,0.9999999999999996,exact,True,0.0010030269622802734,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,1.0000000000000013,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,1.0000000000000013,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,1.0000000000000013,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,0.9999999999999993,exact,True,0.0009899139404296875,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,0.9999999999999993,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,0.9999999999999993,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,0.9999999999999996,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,0.9999999999999996,exact,True,0.0010776519775390625,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,20,8,8,0.0,0.9999999999999996,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,1.0,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,1.0,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,1.0,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,0.9999999999999987,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,0.9999999999999987,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,0.9999999999999987,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,0.9999999999999984,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,0.9999999999999984,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040206,QuantumVolume,5,5,30,12,12,0.0,0.9999999999999984,exact,True,0.0,3,2
