experiment,run_id,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,20,38,38,0.0,0.9999999999999943,exact,True,0.0049686431884765625,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,30,38,38,0.0,0.9999999999999969,exact,True,0.0019991397857666016,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,30,38,38,0.0,0.9999999999999969,exact,True,0.004091501235961914,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,30,38,38,0.0,0.9999999999999969,exact,True,0.00398707389831543,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,30,38,38,0.0,0.9999999999999978,exact,True,0.001993894577026367,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,30,38,38,0.0,0.9999999999999978,exact,True,0.005016803741455078,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,30,38,38,0.0,0.9999999999999978,exact,True,0.005979061126708984,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,6,6,30,38,38,0.0,0.9999999999999943,exact,True,0.0005083084106445312,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,6,6,30,38,38,0.0,0.9999999999999943,exact,True,0.0039217472076416016,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,6,6,30,38,38,0.0,0.9999999999999943,exact,True,0.004239559173583984,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,10,136,136,0.0,0.9999999999999969,exact,True,0.005008697509765625,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,10,136,136,0.0,0.9999999999999969,exact,True,0.019505739212036133,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,10,136,136,0.0,0.9999999999999969,exact,True,0.015005111694335938,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,10,136,136,0.0,0.9999999999999925,exact,True,0.004964590072631836,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,10,136,136,0.0,0.9999999999999925,exact,True,0.020004987716674805,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,10,136,136,0.0,0.9999999999999925,exact,True,0.015105247497558594,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,10,136,136,0.0,0.9999999999999893,exact,True,0.004002809524536133,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,10,136,136,0.0,0.9999999999999893,exact,True,0.018440961837768555,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,10,136,136,0.0,0.9999999999999893,exact,True,0.01400136947631836,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,20,136,136,0.0,0.9999999999999969,exact,True,0.006246089935302734,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,20,136,136,0.0,0.9999999999999969,exact,True,0.01833629608154297,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,20,136,136,0.0,0.9999999999999969,exact,True,0.014617204666137695,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,20,136,136,0.0,0.9999999999999925,exact,True,0.009121417999267578,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,20,136,136,0.0,0.9999999999999925,exact,True,0.019255638122558594,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,20,136,136,0.0,0.9999999999999925,exact,True,0.014133930206298828,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,20,136,136,0.0,0.9999999999999893,exact,True,0.004997730255126953,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,20,136,136,0.0,0.9999999999999893,exact,True,0.019182682037353516,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,20,136,136,0.0,0.9999999999999893,exact,True,0.014085769653320312,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,30,136,136,0.0,0.9999999999999969,exact,True,0.004999399185180664,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,30,136,136,0.0,0.9999999999999969,exact,True,0.018414974212646484,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,30,136,136,0.0,0.9999999999999969,exact,True,0.015026569366455078,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,30,136,136,0.0,0.9999999999999925,exact,True,0.004997730255126953,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,30,136,136,0.0,0.9999999999999925,exact,True,0.020262956619262695,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,30,136,136,0.0,0.9999999999999925,exact,True,0.014087438583374023,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QPE,8,8,30,136,136,0.0,0.9999999999999893,exact,True,0.005005359649658203,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QPE,8,8,30,136,136,0.0,0.9999999999999893,exact,True,0.020087242126464844,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QPE,8,8,30,136,136,0.0,0.9999999999999893,exact,True,0.015084028244018555,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999992,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999992,exact,True,0.001088857650756836,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999992,exact,True,0.0,1,0
