schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,compiler,compiler_backend,compiler_opt_level,compiler_status,conversion_format,conversion_caveat,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.575520+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0020842552185058594,qiskit,transpiler,0,ok,native,,245,5,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.584831+00:00,vqe_twolocal_3,VQE,3,22,13,0.40909090909090906,40.90909090909091,0.30000000000000004,0.0,0.0,1.0000000000000009,0.004924774169921875,qiskit,transpiler,1,ok,native,,245,5,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,e6efa30607c311cac940e7603c74e85bb3adb687346d8dcab0c6662eb921cc88,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.593219+00:00,vqe_twolocal_3,VQE,3,22,13,0.40909090909090906,40.90909090909091,0.30000000000000004,0.0,0.0,1.0000000000000009,0.00527501106262207,qiskit,transpiler,2,ok,native,,245,5,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,e6efa30607c311cac940e7603c74e85bb3adb687346d8dcab0c6662eb921cc88,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.604161+00:00,vqe_twolocal_3,VQE,3,22,13,0.40909090909090906,40.90909090909091,0.30000000000000004,0.0,0.0,1.0000000000000009,0.007230997085571289,qiskit,transpiler,3,ok,native,,245,5,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,e6efa30607c311cac940e7603c74e85bb3adb687346d8dcab0c6662eb921cc88,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.616272+00:00,hardware_eff_3,HardwareEfficient,3,16,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0009746551513671875,custom,greedy_phase1,none,ok,,,345,6,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.618267+00:00,hardware_eff_3,HardwareEfficient,3,16,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,custom,commutation_phase2,none,ok,,,345,6,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.621170+00:00,hardware_eff_3,HardwareEfficient,3,16,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0019483566284179688,custom,hybrid_phase1_2,none,ok,,,345,6,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.626764+00:00,hardware_eff_3,HardwareEfficient,3,16,16,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0030651092529296875,qiskit,transpiler,0,ok,native,,345,6,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,f34836a1fc2585d2de69a7fa3f780089dc56d34ad44188ea61a259fa6a19aee3,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.635702+00:00,hardware_eff_3,HardwareEfficient,3,16,10,0.375,37.5,0.25,0.0,0.0,0.9999999999999996,0.00522160530090332,qiskit,transpiler,1,ok,native,,345,6,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,d1da7c1423589afa598f87ceaf0380010744375d56ae4035bc88fb6f1802e00b,
2.0.0,E15,e15_full_20260721_075707,2026-07-21T07:57:09.646473+00:00,hardware_eff_3,HardwareEfficient,3,16,10,0.375,37.5,0.25,0.0,0.0,0.9999999999999996,0.006995439529418945,qiskit,transpiler,2,ok,native,,345,6,experiments/e15_multi_compiler/run.py,abd412e4d198451ad40c92634a256f4b5b4e0aad4b798833f36cfa7b391ef386,1b903d51ab9c0ccf044b3a368ea979a8f5f6b41a3f43814c4207751e2749a4d8,d1da7c1423589afa598f87ceaf0380010744375d56ae4035bc88fb6f1802e00b,
