input_circuit_sha256,circuit_id,circuit_family,successful_rows,unique_output_circuits
75870b8acd8d1782e558f24ff067ff0af4fd0fc15314bc31b3a27e06c4595379,iqp_6,IQP,54,11
76380e1d43ba4786b298e59145a5b74e4ad206b97e7bc9815e90e25dce301a8f,iqp_6,IQP,54,6
769bc5dd2330d3ce3c3b1c380e24657d4ac0458a73f5b99db5f78043adaa2bba,bv_4,Oracle,54,4
78372196a76be5b171c8c8652020a17fffda66c247774a77d4b49a122e356bf7,adder_8,Adder,54,3
798f2da3852850a248b844c609e1ad7fb57b023a680e6d42dc556d31133c1a31,surface_code_7,SurfaceCode,54,2
7b3522676d252291940c2a9e9f17d81dfc1a5077c6b697e15563a3447cfc72ab,uccsd_4,UCCSD_inspired,54,4
7b4fd106d73016d705a5586e9b761915a1ae550e15f90ea6ef09404df6cc4937,hardware_eff_8,HardwareEfficient,54,3
7ca61cc51f86f8358466b512f82fdd1bedfd46f4ebc65d118de7a2b190605e78,qaoa_line_6,QAOA,54,2
7de15138171180eddd35e0f29e3e3ce11f0b20302daab2bc45c5be3302e9cf4d,surface_code_4,SurfaceCode,54,1
819de267fab80716cb86e286e98db600de07f39e06fb46f98a0783888e0e19a6,bv_6,Oracle,54,5
826a81832c43fd3beaa5ea66f63d19579c7ae7c3f309c590d3c64709d2be3057,bv_8,Oracle,54,7
834aeb4ed3be004b7a0b3e681d43de66de6de8f35a5e9fb1bfa818d7b959284b,vqe_twolocal_8,VQE,54,2
83736b18a61dd9b2fd86cf7fc2f36d12cbe6d26237036b39893a814898578b01,iqp_8,IQP,54,7
83c7c3f2143beb462726dd5669eb691fae0cabe693debd1cd6c9926ec8aac05b,clifford_6,RandomClifford,54,14
84d3281e5151bde9af2a7cc3de51f55b2dd2cfb8283f989bef5f9482034a8a54,uccsd_6,UCCSD_inspired,54,5
84e5ffa52ff593155fe71d6c5301d13481243936c02d7dea5e63cbb838e247aa,bv_5,Oracle,54,5
84fde07bd40be8d7a95d24cc510e9db8ab0d019aaad3c30a43907f561b19ebb6,adder_6,Adder,54,3
8664cf212e90101e901ea020a3d13bba14837c13195e5d2d2e6c78405c613790,qwalk_8,QuantumWalk,0,0
887988d6755fe3aeb072232cdd949704ce84134ffba601652f00a321dc5040c3,qaoa_line_8,QAOA,54,2
893f6526bf6a6d3aeec9c02876eace88e08e93caa6ed56c50764daeba95b4560,haar_4,HaarRandom,54,6
8a0f6aa4d86982e6f5d44dfb1933a65cba2e861eeaa794468785325cd7f38e8a,bv_5,Oracle,54,4
8a29549e2e2fa7f01199af622b2eca0054357c598c80d4060397da27d98f6196,qaoa_line_8,QAOA,54,2
8a2dab910f6b0fb4138b6288249055697b4a82d54aeb40f1b365d52677ecd74e,qwalk_7,QuantumWalk,29,9
8aaf01a56bcab37914ddfaba82a75a16e140d95441d873784a6ddbc0cb82048b,qwalk_6,QuantumWalk,53,9
8b29e59e3a39db333187ef02a279d7723f487d94b438e8e97ce4d73eab48b4e8,clifford_4,RandomClifford,54,6
8d9675d03084170fe7ac5525f6fcb719077b9720d82fdfd3a3438964e78b6345,uccsd_6,UCCSD_inspired,54,4
8e6db4fdd8b1e74adfbeaf694b8f894260e2dc63ceccc8e39646673ee43949df,qaoa_line_6,QAOA,54,2
8fade07fc864918c4a4969c2781f2c199d2cec46f63e96c10290027163d5a455,bv_5,Oracle,54,6
8fe6a04fb57130ecbb92ca64358dee1b21d52ec1cfd3a2ce2f134a6345166151,bv_3,Oracle,54,5
8ff9e347f089a38379fb8b9dddac5f467f20f23caa1892008b74218e158a33c3,bv_7,Oracle,54,5
90b9d6a98141cc942d3ded30a930bd0e1d014a4a74273b8ac4367eda1522afc9,qwalk_5,QuantumWalk,54,9
9122b5a207a4c0a8ffeedf35af10c42a747aa84296b789e02a6bac63a0970083,hardware_eff_6,HardwareEfficient,54,3
914e1499c292081bdc75f6dcd9813bbb7b2085fe470253f7000b70ace6ba61c9,qaoa_line_8,QAOA,54,2
916e8ca7c9598753b3e23a7ed30b002882a72b04507e198132b31ffc6a26ef74,qwalk_8,QuantumWalk,0,0
91e4aec91029d653afc2f4cfd9acf0f34aa36fd0f56363bd622f0d0b2fbd912f,uccsd_8,UCCSD_inspired,54,5
920715dea765673c0d3337786b5f66da8038c75428d4b37e5c288736db47b69d,qwalk_3,QuantumWalk,54,4
930cb78f04ba9cb29ab33d24598112a6118327a15181d12512e9f28c264180b8,iqp_4,IQP,54,6
93467de4ec8b6447d0046632416f75a2a2ec7eaa82fac32a3b3cb7e00e0debdb,hardware_eff_6,HardwareEfficient,54,3
93777dbb1396f34119a3c7abd792673d63abea48eb3460371bc0edff6ad7e7d7,grover_4,Grover,54,2
948333538f192e047cf807ea8eaf140facd1c784484d67f3d731205abea6929e,qwalk_5,QuantumWalk,54,9
95300c7f12f75049fd4f840f8155f54ae4f02dfc980112dcf6f32aa7fa26c259,haar_4,HaarRandom,54,6
9599f9974b14de7195d737812cbf1c818a7ceb9b98d68f8d815c350d4d59daaa,qwalk_3,QuantumWalk,54,5
9622962052cfcefe2e8d5fcff75c437ddc1262dc21b471fdc6bd179d3b83f28b,grover_8,Grover,53,6
96459b4f823e438eec56e9c1a97a6dd324300ee70290658957d9ad22142ab813,vqe_twolocal_6,VQE,54,2
