schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,circuit_type,n_qubits,gate_set,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,t_count_reduction,baseline_t_count,optimized_t_count,fidelity,success,runtime_seconds,optimizer,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,status,error_message,error_type
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.151389+00:00,ghz_4,GHZ,ghz,4,clifford_t,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,hybrid_phase1_2,42,15,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.170587+00:00,cnot_chain_4,CNOT,cnot_chain,4,clifford_t,24,0,1.0,100.0,1.0,1.0,1.0,0.0,0,0,1.0,True,0.0010054111480712,greedy_phase1,42,16,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,6fc54da90c7d858700af390450b3cb285a393a37b27d0497ac425160a1241dd5,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.173690+00:00,cnot_chain_4,CNOT,cnot_chain,4,clifford_t,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0021038055419921,commutation_phase2,42,16,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,6fc54da90c7d858700af390450b3cb285a393a37b27d0497ac425160a1241dd5,6fc54da90c7d858700af390450b3cb285a393a37b27d0497ac425160a1241dd5,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.173690+00:00,cnot_chain_4,CNOT,cnot_chain,4,clifford_t,24,0,1.0,100.0,1.0,1.0,1.0,0.0,0,0,1.0,True,0.0,hybrid_phase1_2,42,16,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,6fc54da90c7d858700af390450b3cb285a393a37b27d0497ac425160a1241dd5,80cb67051feabb1a835727fede3367602f1e692e3ec9d1d7247266c73803bd7d,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.184837+00:00,bv_4,Oracle,bernstein_vazirani,5,clifford_t,14,10,0.2857142857142857,28.57142857142857,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,greedy_phase1,46,17,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,7cc5486c732c1e2b2122d958f646ed106ce357212c589abfc103d632135d2778,c436f8fcb4328e3a70e8e11969ef3bf6f517665bd8403c05fad890f2acac808d,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.184837+00:00,bv_4,Oracle,bernstein_vazirani,5,clifford_t,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True,0.0,commutation_phase2,46,17,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,7cc5486c732c1e2b2122d958f646ed106ce357212c589abfc103d632135d2778,7cc5486c732c1e2b2122d958f646ed106ce357212c589abfc103d632135d2778,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:47.191938+00:00,bv_4,Oracle,bernstein_vazirani,5,clifford_t,14,10,0.2857142857142857,28.57142857142857,0.0,0.0,0.0,0.0,0,0,1.0,True,0.00710129737854,hybrid_phase1_2,46,17,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,7cc5486c732c1e2b2122d958f646ed106ce357212c589abfc103d632135d2778,c436f8fcb4328e3a70e8e11969ef3bf6f517665bd8403c05fad890f2acac808d,,ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:48.137422+00:00,adder_4,Adder,quantum_adder,4,clifford_t,48,44,0.0833333333333333,8.333333333333337,0.0606060606060605,0.0,0.0,0.0,21,21,0.9999999999999956,True,0.0007777214050292,greedy_phase1,546,22,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,a455689e7b911471016c1254e37c253b159b85db842cccbbfd1373069ab9a9df,ddb87da6129f5dd09ec204280c663fd749adc538001c9706a71131f97b895faa,"Ripple-carry adder, random inputs",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:48.148350+00:00,adder_4,Adder,quantum_adder,4,clifford_t,48,48,0.0,0.0,0.0,0.0,0.0,0.0,21,21,1.0,True,0.010927677154541,commutation_phase2,546,22,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,a455689e7b911471016c1254e37c253b159b85db842cccbbfd1373069ab9a9df,a455689e7b911471016c1254e37c253b159b85db842cccbbfd1373069ab9a9df,"Ripple-carry adder, random inputs",ok,,
2.0.0,E18,e18_full_20260721_131939,2026-07-21T13:19:48.154883+00:00,adder_4,Adder,quantum_adder,4,clifford_t,48,44,0.0833333333333333,8.333333333333337,0.0606060606060605,0.0,0.0,0.0,21,21,0.9999999999999956,True,0.006533145904541,hybrid_phase1_2,546,22,experiments/e18_clifford_t/run.py,0eb2abde13dc201579ea52a4163575097f6d3d75b705bd858ea956ce6f9952ed,a455689e7b911471016c1254e37c253b159b85db842cccbbfd1373069ab9a9df,ddb87da6129f5dd09ec204280c663fd749adc538001c9706a71131f97b895faa,"Ripple-carry adder, random inputs",ok,,
