schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,compiler,compiler_backend,compiler_opt_level,compiler_status,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.762747+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.02590656280517578,custom,hybrid_phase1_2,none,ok,145,4,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.774507+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.0057413578033447266,qiskit,transpiler,0,ok,145,4,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.789330+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.00697016716003418,qiskit,transpiler,1,ok,145,4,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.807562+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.01266789436340332,qiskit,transpiler,2,ok,145,4,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.827502+00:00,qaoa_line_3,QAOA,3,21,21,0.0,0.0,0.0,0.0,0.0,1.000000000000001,0.011575460433959961,qiskit,transpiler,3,ok,145,4,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,4ab7f5ec5a5f9989af1f36279dbbc10173d67caa576e8d8365361fd7b2825f61,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.837715+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.005759477615356445,custom,greedy_phase1,none,ok,245,5,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.846026+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.006870269775390625,custom,commutation_phase2,none,ok,245,5,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.872710+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.02516484260559082,custom,hybrid_phase1_2,none,ok,245,5,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.884693+00:00,vqe_twolocal_3,VQE,3,22,22,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.004596710205078125,qiskit,transpiler,0,ok,245,5,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,
2.0.0,E15,e15_full_20260611_150934,2026-06-11T15:09:47.898231+00:00,vqe_twolocal_3,VQE,3,22,13,0.40909090909090906,40.90909090909091,0.30000000000000004,0.0,0.0,1.0000000000000009,0.008106708526611328,qiskit,transpiler,1,ok,245,5,experiments/e15_multi_compiler/run.py,bd06667e713b697ff5ed23f4c64f58e432474b1a6066b6366f22ce1202bdd577,dcd9e71f60c8f6cbdd359b080e754fa27352f6697878f78765d880b4e2e3a2be,e6efa30607c311cac940e7603c74e85bb3adb687346d8dcab0c6662eb921cc88,
