coefficient,equal_family_estimate_pp,family_cluster_se_pp,family_cluster_df,t14_ci95_low_pp,t14_ci95_high_pp,t14_p_value_model_based,wild_cluster_bootstrap_t_p_value,wild_cluster_bootstrap_replicates,wild_cluster_bootstrap_seed,inference_role,confirmatory_claim_allowed,probability_sample_of_families,unseen_family_generalization_status,multiplicity_family_id,multiplicity_family_size,holm_adjusted_t14_p,holm_adjusted_wild_cluster_p
C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.30],-6.395260734114798,3.0512905426528185,14,-12.93962807096338,0.1491066027337844,0.05474470255391588,0.0625,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(window_gates)[T.64]:C(budget_seconds)[T.120],-6.3826520384626235,3.053147834433507,14,-12.931002869998004,0.1656987930727567,0.055294318062988804,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-3.827072053077314,1.908013499970614,14,-7.919354008180072,0.2652099020254437,0.06460230721096576,0.108,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-3.8280957396761988,1.9191842901703031,14,-7.944336656892762,0.2881451775403647,0.06592786362584051,0.108,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.16]:C(budget_seconds)[T.120],-3.813738102901682,1.9100445170917772,14,-7.910376156488843,0.2828999506854779,0.06568478363166327,0.108,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.10],-4.233828106985758,2.2194401545562252,14,-8.994053805106237,0.5263975911347218,0.0771672752945091,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.30],-4.2190326821846345,2.2216782357075644,14,-8.984058586964984,0.5459932225957154,0.07836450040199303,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(window_gates)[T.64]:C(budget_seconds)[T.120],-4.208295967208788,2.2232423846678455,14,-8.976676637857068,0.5600847034394913,0.07923498886028178,0.1237,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],2.5481990650730655,2.4668397008049268,14,-2.742645886438317,7.839044016584448,0.31912804858324484,0.37965,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],2.572236721366502,2.4652528938504603,14,-2.7152048677126475,7.859678310445651,0.31444758625346947,0.38115,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
