schema_version,experiment_id,run_id,circuit_id,circuit_family,n_qubits,optimizer,status,timestamp_utc,circuit_type,gate_set,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,t_count_reduction,baseline_t_count,optimized_t_count,fidelity,success,runtime_seconds,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,mechanism,failed,correction_method,imputed_draw,imputation_source
2.0.0,E18,e18_full_20260610_052140,bv_5,Oracle,6,hybrid_phase1_2,ok,2026-06-10T05:21:43.751895+00:00,bernstein_vazirani,clifford_t,16.0,10.0,0.375,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999968,True,0.0423462390899658,47.0,31.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,eb445c37d713dfac55eba5b3e232868a0de033339c15c01afd9cb16a7ded19c4,19d20a09bdd07b0bb54ff61337c18a64f04a0ccea80f1d91b6fa9860cb9bc4c5,,valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,qaoa_line_5,QAOA,5,none,"decompose_error: ""Unable to translate the operations in the circuit: ['cx', 'u3', 'u'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,vqe_twolocal_5,VQE,5,none,"decompose_error: ""Unable to translate the operations in the circuit: ['cx', 'u'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,hardware_eff_5,HardwareEfficient,5,none,"decompose_error: ""Unable to translate the operations in the circuit: ['rz', 'ry', 'cx'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,grover_5,Grover,5,none,"decompose_error: ""Unable to translate the operations in the circuit: ['u1', 'h', 'x', 'cx', 'u2', 'cu1'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,adder_5,Adder,5,greedy_phase1,ok,2026-06-10T05:21:43.809893+00:00,quantum_adder,clifford_t,51.0,47.0,0.0784313725490196,7.843137254901967,0.0625,0.1999999999999999,0.1999999999999999,0.0,21.0,21.0,0.9999999999999948,True,0.0149989128112792,547.0,36.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,b42de1797d61a73ad5f2b86e53fd537d7b861119754bb1f7b3692dd7bf572b35,eb50db6889c8ae42a19f61e677baa93a8dca603eba4a33b4ce63eaad9c2425a7,"Ripple-carry adder, random inputs",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,adder_5,Adder,5,commutation_phase2,ok,2026-06-10T05:21:43.832330+00:00,quantum_adder,clifford_t,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.9999999999999948,False,0.0201928615570068,547.0,36.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,b42de1797d61a73ad5f2b86e53fd537d7b861119754bb1f7b3692dd7bf572b35,b42de1797d61a73ad5f2b86e53fd537d7b861119754bb1f7b3692dd7bf572b35,"Ripple-carry adder, random inputs",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,adder_5,Adder,5,hybrid_phase1_2,ok,2026-06-10T05:21:43.894341+00:00,quantum_adder,clifford_t,51.0,47.0,0.0784313725490196,7.843137254901967,0.0625,0.1999999999999999,0.1999999999999999,0.0,21.0,21.0,0.9999999999999948,True,0.0590107440948486,547.0,36.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,b42de1797d61a73ad5f2b86e53fd537d7b861119754bb1f7b3692dd7bf572b35,eb50db6889c8ae42a19f61e677baa93a8dca603eba4a33b4ce63eaad9c2425a7,"Ripple-carry adder, random inputs",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,qwalk_5,QuantumWalk,6,none,"decompose_error: ""Unable to translate the operations in the circuit: ['h', 'x', 'ry', 'cx', 'ccx'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,iqp_5,IQP,5,none,"decompose_error: ""Unable to translate the operations in the circuit: ['rz', 'cz', 'h'] to the backend's (or manually specified) target basis: ['if_else', 'while_loop', 'delay', 's', 'store', 'for_loop', 'x', 'h', 'sdg', 'cx', 'measure', 'snapshot', 'y', 't', 'switch_case', 'z', 'reset', 'barrier', 'tdg']. This likely means the target basis is not universal or there are additional equivalence rules needed in the EquivalenceLibrary being used. For more details on this error see: https://docs.quantum.ibm.com/api/qiskit/qiskit.transpiler.passes.BasisTranslator#translation-errors""",,,,,,,,,,,,,,,,,,,,,,,,decompose_error,True,gate_type_itt_zero,,
2.0.0,E18,e18_full_20260610_052140,clifford_5,RandomClifford,5,greedy_phase1,ok,2026-06-10T05:21:43.918661+00:00,random_clifford,clifford_t,44.0,32.0,0.2727272727272727,27.27272727272727,0.2307692307692307,0.4,0.4,0.0,0.0,0.0,0.9999999999999936,True,0.0099139213562011,847.0,39.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,5d75ed4d3c75c9fdbdd04a3c806790d5276d07e34883582fab61f0f4739a1b4f,c5954fb3369da7553902ec1b7de4c11342174f105a932c8c12385a338ce7b7e4,"Random Clifford, depth=10",valid,False,observed,,
2.0.0,E18,e18_full_20260610_052140,clifford_5,RandomClifford,5,commutation_phase2,ok,2026-06-10T05:21:43.933401+00:00,random_clifford,clifford_t,44.0,42.0,0.0454545454545454,4.545454545454541,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999932,True,0.01251220703125,847.0,39.0,experiments/e18_clifford_t/run.py,e3ec5c8010452a26f5532448f4693aedb12bf4785eb37fa094e4e6f09d9b79ee,5d75ed4d3c75c9fdbdd04a3c806790d5276d07e34883582fab61f0f4739a1b4f,5f31766ba5da04959581c8dd45002084cfa69976e5fad65b494718f87ba8a064,"Random Clifford, depth=10",valid,False,observed,,
