circuit_family,n_qubits,seed,original_gate_count,optimized_gate_count,inverse_pair_density,commutation_density,predicted_reduction,actual_reduction,prediction_error,fidelity,runtime_seconds,gate_count_total
QPE,4,242,30,30,0.0,0.27586206896551724,0.305180724137931,0.0,-0.305180724137931,0.9999999999999968,0.06385946273803711,30
QPE,4,342,30,30,0.0,0.27586206896551724,0.305180724137931,0.0,-0.305180724137931,0.9999999999999979,0.06227612495422363,30
QPE,4,442,30,30,0.0,0.27586206896551724,0.305180724137931,0.0,-0.305180724137931,0.9999999999999979,0.07654476165771484,30
QPE,5,42,52,52,0.0,0.19607843137254902,0.21724072549019607,0.0,-0.21724072549019607,0.9999999999999964,0.17069792747497559,52
QPE,5,142,52,52,0.0,0.19607843137254902,0.21724072549019607,0.0,-0.21724072549019607,0.9999999999999964,0.1800978183746338,52
QPE,5,242,52,52,0.0,0.19607843137254902,0.21724072549019607,0.0,-0.21724072549019607,0.9999999999999946,0.15967655181884766,52
QPE,5,342,52,52,0.0,0.19607843137254902,0.21724072549019607,0.0,-0.21724072549019607,0.9999999999999964,0.24689435958862305,52
QPE,5,442,52,52,0.0,0.19607843137254902,0.21724072549019607,0.0,-0.21724072549019607,0.9999999999999982,0.17469072341918945,52
QPE,6,42,91,91,0.0,0.13333333333333333,0.14808113333333334,0.0,-0.14808113333333334,0.9999999999999953,0.5359194278717041,91
QPE,6,142,91,91,0.0,0.13333333333333333,0.14808113333333334,0.0,-0.14808113333333334,0.9999999999999967,0.5162243843078613,91
QPE,6,242,91,91,0.0,0.13333333333333333,0.14808113333333334,0.0,-0.14808113333333334,0.9999999999999919,0.4951794147491455,91
QPE,6,342,91,91,0.0,0.13333333333333333,0.14808113333333334,0.0,-0.14808113333333334,0.9999999999999987,0.5051310062408447,91
QPE,6,442,91,91,0.0,0.13333333333333333,0.14808113333333334,0.0,-0.14808113333333334,0.9999999999999978,0.4642219543457031,91
QPE,7,42,163,163,0.0,0.08641975308641975,0.09637153086419753,0.0,-0.09637153086419753,0.9999999999999933,3.7842578887939453,163
QPE,7,142,163,163,0.0,0.08641975308641975,0.09637153086419753,0.0,-0.09637153086419753,0.999999999999996,3.7680270671844482,163
QPE,7,242,163,163,0.0,0.08641975308641975,0.09637153086419753,0.0,-0.09637153086419753,0.9999999999999869,3.584770679473877,163
QPE,7,342,163,163,0.0,0.08641975308641975,0.09637153086419753,0.0,-0.09637153086419753,1.0,3.709237575531006,163
QPE,7,442,163,163,0.0,0.08641975308641975,0.09637153086419753,0.0,-0.09637153086419753,1.0,3.7650606632232666,163
QAOA_mixer,3,42,38,38,0.0,0.16216216216216217,0.17985716216216216,0.0,-0.17985716216216216,1.0000000000000016,0.04546022415161133,38
QAOA_mixer,3,142,38,38,0.0,0.16216216216216217,0.17985716216216216,0.0,-0.17985716216216216,0.9999999999999992,0.051743268966674805,38
QAOA_mixer,3,242,38,38,0.0,0.16216216216216217,0.17985716216216216,0.0,-0.17985716216216216,0.9999999999999987,0.038932085037231445,38
QAOA_mixer,3,342,38,38,0.0,0.16216216216216217,0.17985716216216216,0.0,-0.17985716216216216,1.0,0.03983473777770996,38
QAOA_mixer,3,442,38,38,0.0,0.16216216216216217,0.17985716216216216,0.0,-0.17985716216216216,1.0,0.05234670639038086,38
QAOA_mixer,4,42,56,56,0.0,0.2,0.22156320000000002,0.0,-0.22156320000000002,1.0000000000000018,0.060915470123291016,56
QAOA_mixer,4,142,56,56,0.0,0.2,0.22156320000000002,0.0,-0.22156320000000002,0.9999999999999991,0.05513119697570801,56
QAOA_mixer,4,242,56,56,0.0,0.2,0.22156320000000002,0.0,-0.22156320000000002,0.9999999999999979,0.05357241630554199,56
QAOA_mixer,4,342,56,56,0.0,0.2,0.22156320000000002,0.0,-0.22156320000000002,1.0,0.05560040473937988,56
QAOA_mixer,4,442,56,56,0.0,0.2,0.22156320000000002,0.0,-0.22156320000000002,1.0,0.061446428298950195,56
QAOA_mixer,5,42,75,75,0.0,0.1891891891891892,0.2096471891891892,0.0,-0.2096471891891892,1.0000000000000027,0.08714675903320312,75
QAOA_mixer,5,142,75,75,0.0,0.1891891891891892,0.2096471891891892,0.0,-0.2096471891891892,0.9999999999999981,0.08586668968200684,75
QAOA_mixer,5,242,75,75,0.0,0.1891891891891892,0.2096471891891892,0.0,-0.2096471891891892,0.999999999999997,0.08095693588256836,75
QAOA_mixer,5,342,75,75,0.0,0.1891891891891892,0.2096471891891892,0.0,-0.2096471891891892,1.0,0.10326147079467773,75
QAOA_mixer,5,442,75,75,0.0,0.1891891891891892,0.2096471891891892,0.0,-0.2096471891891892,0.9999999999999996,0.0860140323638916,75
QAOA_mixer,6,42,93,93,0.0,0.17391304347826086,0.19280934782608694,0.0,-0.19280934782608694,1.0000000000000036,0.17083454132080078,93
QAOA_mixer,6,142,93,93,0.0,0.17391304347826086,0.19280934782608694,0.0,-0.19280934782608694,0.9999999999999969,0.20587635040283203,93
QAOA_mixer,6,242,93,93,0.0,0.17391304347826086,0.19280934782608694,0.0,-0.19280934782608694,0.9999999999999964,0.20151019096374512,93
QAOA_mixer,6,342,93,93,0.0,0.17391304347826086,0.19280934782608694,0.0,-0.19280934782608694,1.0,0.16841912269592285,93
QAOA_mixer,6,442,93,93,0.0,0.17391304347826086,0.19280934782608694,0.0,-0.19280934782608694,1.0,0.19564199447631836,93
QAOA_mixer,7,42,112,112,0.0,0.17117117117117117,0.18978717117117117,0.0,-0.18978717117117117,1.0000000000000044,0.44127464294433594,112
