experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers,bv_secret
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,4,13,13,0.0,0.9999999999999964,exact,True,0.0,6050,6,,,,,,,,,8
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,4,13,5,0.6153846153846154,0.9999999999999973,exact,True,0.0,6050,6,,,,,,,,,8
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,4,13,3,0.7692307692307692,0.9999999999999973,exact,True,0.001001119613647461,6050,6,1.0,0.0,0.0,5.0,0.0,0.0,10.0,22.0,8
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,6,15,15,0.0,0.9999999999999964,exact,True,0.0,7050,7,,,,,,,,,26
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,6,15,11,0.2666666666666667,0.9999999999999967,exact,True,0.0,7050,7,,,,,,,,,26
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,6,15,5,0.6666666666666667,0.9999999999999973,exact,True,0.0019996166229248047,7050,7,3.0,0.0,0.0,5.0,0.0,0.0,29.0,21.0,26
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,4,13,13,0.0,0.9999999999999964,exact,True,0.0,8050,8,,,,,,,,,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,4,13,5,0.6153846153846154,0.9999999999999973,exact,True,0.0,8050,8,,,,,,,,,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,4,13,3,0.7692307692307692,0.9999999999999973,exact,True,0.0019991397857666016,8050,8,1.0,0.0,0.0,5.0,0.0,0.0,10.0,22.0,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,6,5,6,15,15,0.0,0.9999999999999964,exact,True,0.0009953975677490234,9050,9,,,,,,,,,28
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,6,5,6,15,11,0.2666666666666667,0.9999999999999967,exact,True,0.0009984970092773438,9050,9,,,,,,,,,28
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,6,5,6,15,5,0.6666666666666667,0.9999999999999973,exact,True,0.003001689910888672,9050,9,3.0,0.0,0.0,5.0,0.0,0.0,29.0,21.0,28
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,9,20,20,0.0,0.9999999999999962,exact,True,0.0,51,0,,,,,,,,,63
