experiment,n_qubits,depth,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
3,3,4,22,64,12,-6.406853007629837e-16,-8.542470676839783e-16,12,12,0.0,1.0,False,0.0010006427764892578,3.0.0
3,3,4,23,65,12,1.601713251907458e-15,2.1356176692099438e-15,12,12,0.0,0.9999999999999984,False,0.0009996891021728516,3.0.0
3,3,4,24,66,12,4.805139755722375e-16,6.406853007629833e-16,12,12,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,4,25,67,12,0.21914203152459044,0.2921893753661206,12,12,0.0,0.9999999999999996,False,0.0,3.0.0
3,3,4,26,68,12,0.16016112299265076,0.21354816399020102,12,12,0.0,0.999999999999999,False,0.0,3.0.0
3,3,4,27,69,12,3.2034265038149176e-16,4.27123533841989e-16,12,12,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,4,28,70,12,0.6096659229486894,0.8128878972649192,12,12,0.0,0.9999999999999998,False,0.0,3.0.0
3,3,4,29,71,12,1.121199276335221e-15,1.4949323684469612e-15,12,12,0.0,0.9999999999999984,False,0.0,3.0.0
3,3,4,30,72,12,6.406853007629834e-16,8.542470676839779e-16,12,12,0.0,0.9999999999999988,False,0.0010004043579101562,3.0.0
3,3,4,31,73,12,0.6971453221112125,0.9295270961482833,12,12,0.0,0.9999999999999988,False,0.0010004043579101562,3.0.0
3,3,4,32,74,12,0.8373999307883866,1.1165332410511821,12,12,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,4,33,75,12,8.008566259537292e-16,1.0678088346049723e-15,12,12,0.0,0.9999999999999988,False,0.0009987354278564453,3.0.0
3,3,4,34,76,12,0.6008760366928572,0.8011680489238096,12,12,0.0,0.9999999999999987,False,0.0010008811950683594,3.0.0
3,3,4,35,77,12,1.4415419267167124e-15,1.92205590228895e-15,12,12,0.0,0.9999999999999988,False,0.0009989738464355469,3.0.0
3,3,4,36,78,12,1.2813706015259665e-15,1.7084941353679552e-15,12,12,0.0,0.9999999999999982,False,0.0010004043579101562,3.0.0
3,3,4,37,79,12,1.0000000000000002,1.3333333333333337,12,12,0.0,0.9999999999999987,False,0.00099945068359375,3.0.0
3,3,4,38,80,12,9.61027951144475e-16,1.2813706015259667e-15,12,12,0.0,0.9999999999999992,False,0.0,3.0.0
3,3,4,39,81,12,1.0,1.3333333333333333,12,12,0.0,0.9999999999999996,False,0.001007080078125,3.0.0
3,3,4,40,82,12,-0.0,-0.0,12,12,0.0,0.9999999999999998,False,0.0,3.0.0
3,3,4,41,83,12,9.61027951144475e-16,1.2813706015259667e-15,12,12,0.0,0.9999999999999988,False,0.001001596450805664,3.0.0
3,3,4,42,84,12,-0.0,-0.0,12,12,0.0,1.0,False,0.0009999275207519531,3.0.0
3,3,4,43,85,12,0.36465127198586317,0.48620169598115087,12,12,0.0,0.9999999999999992,False,0.0005066394805908203,3.0.0
3,3,4,44,86,12,1.0,1.3333333333333333,12,12,0.0,0.9999999999999992,False,0.00099945068359375,3.0.0
3,3,4,45,87,12,0.11493391758699498,0.15324522344932665,12,12,0.0,0.9999999999999992,False,0.0010001659393310547,3.0.0
3,3,4,46,88,12,1.121199276335221e-15,1.4949323684469612e-15,12,12,0.0,0.9999999999999982,False,0.0,3.0.0
3,3,4,47,89,12,1.121199276335221e-15,1.4949323684469612e-15,12,12,0.0,0.9999999999999987,False,0.0,3.0.0
