experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,30,157,157,0.0,0.9999999999999727,exact,True,0.00200653076171875,345,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,30,157,107,0.3184713375796179,0.9999999999999797,exact,True,0.04779648780822754,345,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,7,7,30,157,72,0.5414012738853503,0.999999999999985,exact,True,0.06303691864013672,345,1,4.0,1.0,0.0,26.0,1.0,27.0,167.0,593.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,30,164,164,0.0,0.9999999999999751,exact,True,0.0,445,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,30,164,124,0.24390243902439024,0.9999999999999826,exact,True,0.04990649223327637,445,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,7,7,30,164,68,0.5853658536585367,0.9999999999999857,exact,True,0.08276057243347168,445,2,2.0,6.0,0.0,22.0,0.0,33.0,324.0,642.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,40,204,204,0.0,0.9999999999999716,exact,True,0.0017478466033935547,255,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,40,204,146,0.28431372549019607,0.999999999999979,exact,True,0.08422327041625977,255,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,template_phase2b,RandomClifford,7,7,40,204,73,0.642156862745098,0.9999999999999797,exact,True,0.10064268112182617,255,0,2.0,2.0,0.0,29.0,5.0,52.0,217.0,905.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,greedy_phase1,RandomClifford,7,7,40,197,197,0.0,0.999999999999972,exact,True,0.0,355,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052233,depth_fill2,commutation_phase2a,RandomClifford,7,7,40,197,151,0.23350253807106602,0.999999999999978,exact,True,0.05742835998535156,355,1,,,,,,,,
