experiment,circuit_id,circuit_family,n_qubits,variant_idx,tool,gate_count,base_gate_count,unitary_check,error
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,3,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,3,prototype_greedy,16,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,4,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,4,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,4,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,4,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,5,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,5,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,5,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,5,prototype_greedy,10,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,6,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,6,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,6,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,6,prototype_greedy,4,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,7,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,7,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,7,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,7,prototype_greedy,6,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,8,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,8,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,8,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,8,prototype_greedy,10,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,9,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,9,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,9,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,9,prototype_greedy,16,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,10,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,10,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,10,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,10,prototype_greedy,8,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,11,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,11,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,11,cirq_default,0,,pass,
