family,n_qubits,n_pairs,mean_time_naive_ms,mean_time_ca_ms,speedup,wilcoxon_statistic,wilcoxon_pvalue,cohens_d_time,mean_reduction_naive,mean_reduction_ca,reduction_diff,mean_fidelity_naive,mean_fidelity_ca
RandomClifford,6,10,33.546749998640735,13.942289998522028,2.4061147775721854,0.0,0.001953125,3.2396920044768134,0.19088150152085534,0.19088150152085534,0.0,0.9999999999999953,0.9999999999999953
RandomClifford,8,10,8.076849998906255,9.313080004358198,0.8672587366506643,17.0,0.322265625,-0.46123842117120334,0.22560506135069852,0.22560506135069852,0.0,1.0,1.0
RandomClifford,10,10,10.75748000148451,10.897079997812398,0.987189229008513,26.0,0.921875,-0.05454798484072322,0.1601565440195577,0.1601565440195577,0.0,1.0,1.0
SurfaceCode,4,10,5.093699996359646,0.6792100000893697,7.499447881641058,0.0,0.001953125,5.027969273638684,0.0,0.0,0.0,0.9999999999999997,0.9999999999999997
SurfaceCode,6,10,22.403149999445304,0.87539999949513,25.591900859453833,0.0,0.001953125,11.833538460791086,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998
SurfaceCode,8,10,1.7869000002974644,0.7917899987660348,2.256785262610362,0.0,0.001953125,1.6671587688467442,0.0,0.0,0.0,1.0,1.0
SurfaceCode,10,10,1.3710900020669214,0.8040200031246059,1.7052933966052481,0.0,0.001953125,2.11803150709902,0.0,0.0,0.0,1.0,1.0
UCCSD,4,10,12.18018000072334,1.5033400020911358,8.102079359147492,0.0,0.001953125,4.275448148087523,0.004,0.004,0.0,1.0,1.0
UCCSD,6,10,46.59906000015326,1.9623599990154617,23.746437974445328,0.0,0.001953125,2.0426509792698946,0.0,0.0,0.0,1.0,1.0
UCCSD,8,10,6.763919997320045,2.406389999669045,2.8108162011354345,0.0,0.001953125,5.723309398394644,0.0,0.0,0.0,1.0,1.0
UCCSD,10,10,8.014330000150949,3.1284900003811345,2.561724665629293,0.0,0.001953125,7.41630172734274,0.0,0.0,0.0,1.0,1.0
VQE,4,10,14.788029999181163,1.3496999992639758,10.956531086349141,0.0,0.001953125,2.3464759471555197,0.0,0.0,0.0,1.0,1.0
VQE,6,10,23.71669999702135,1.2249299950781278,19.361677885525747,0.0,0.001953125,6.562534531911197,0.0,0.0,0.0,1.0,1.0
VQE,8,10,4.659329996502493,1.4030299949808978,3.3209054782652236,0.0,0.001953125,3.3126917694736684,0.0,0.0,0.0,1.0,1.0
VQE,10,10,6.010600001900457,1.67109000030905,3.5968140559687756,0.0,0.001953125,2.6095441044137306,0.0,0.0,0.0,1.0,1.0
