family,n_qubits,param_n,depth,seed,circuit_sha256,gate_reduction,phase1_only_reduction,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
QuantumVolume,6,6,20,1,25b5ca53eca84f42898eb866e5d0e650cc345167eeb57feccd93c0717aad7238,0.0,0.0,9,2.302585092994046,1.5,3,0.5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,3,0.3333333333333333,3.0,3,0.0
QuantumVolume,6,6,20,2,550d8c6a3fce1a66a4adeef74f12e6aa153fa049ad55206eed9120cb2228207e,0.0,0.0,9,2.302585092994046,1.5,3,0.5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,3,0.3333333333333333,3.0,3,0.0
QuantumVolume,6,6,20,3,0ca60e21c289fc1da394e8e06afffe73d9fc96659287914508c49a049764d976,0.0,0.0,9,2.302585092994046,1.5,3,0.5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,3,0.3333333333333333,3.0,3,0.0
QuantumVolume,6,6,30,1,2ab0630954434394b0aea88bfa444bf1db87cac7e21c4d74157a4073d82dbdf7,0.0,0.0,15,2.772588722239781,2.5,5,0.8333333333333334,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.26666666666666666,3.75,6,0.0
QuantumVolume,6,6,30,2,a4552e8b4af63d2e0a97e40b4b1c6347669f2b2734d3404c65ccf88a2d7f615d,0.0,0.0,15,2.772588722239781,2.5,5,0.8333333333333334,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.26666666666666666,3.75,6,0.0
QuantumVolume,6,6,30,3,b4683fe45d9096baa9f5cacba2956496e6578557287084ca3c1578479caf019c,0.0,0.0,15,2.772588722239781,2.5,5,0.8333333333333334,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,4,0.26666666666666666,3.75,6,0.0
QuantumVolume,8,8,10,1,850e0ba50c06a7d0f76efb74c83ee7963b22fd0754331e058980216c3b53f2d0,0.0,0.0,4,1.6094379124341003,0.5,1,0.125,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.25,4.0,4,0.0
QuantumVolume,8,8,10,2,34cec4ca617d7b86f5cbca9ec8c49d78ccce26595880eb1e9d80875f445c51bd,0.0,0.0,4,1.6094379124341003,0.5,1,0.125,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.25,4.0,4,0.0
QuantumVolume,8,8,10,3,68e8b162f8f8ea32ea0d28e65cf8688be5357d98c060339df244c5d0b350f978,0.0,0.0,4,1.6094379124341003,0.5,1,0.125,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.25,4.0,4,0.0
QuantumVolume,8,8,20,1,08b8de4f78e60d31aaaa6bdcaf8c5b87e69f246e729112add4177248471a740e,0.0,0.0,8,2.1972245773362196,1.0,2,0.25,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.25,4.0,4,0.0
