row_idx,family,n_qubits,trial_seed,input_circuit_sha256,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
40,GHZ,4,480404538,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
41,GHZ,4,1717389822,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
42,GHZ,4,599121577,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
43,GHZ,4,200427519,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
44,GHZ,4,1254751707,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
45,GHZ,4,2034764475,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
46,GHZ,4,1573512143,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
47,GHZ,4,999745294,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
48,GHZ,4,1958805693,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
49,GHZ,4,389151677,632a65a86fd9bfab17ccedbd10b32b45490cc33030a23af0d675ad3e8ad7a445,4,1.6094379124341003,1.0,4,1.0,0.75,2,0.0,0,0.0,0,0.0,0,0.0,0.0,4,1.0,1.0,1,1.0
