experiment,n_qubits,depth,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
4,5,15,22,64,ga,75,1.6870784312016092,0.9640448178294909,75,75,0.0,0.9999999999999927,False,13.942810535430908,3.0.0
4,5,15,23,65,greedy,75,0.9057338844400412,0.5175622196800236,75,75,0.0,0.9999999999999957,False,0.0035140514373779297,3.0.0
4,5,15,23,65,rls,75,0.9057338844400412,0.5175622196800236,75,75,0.0,0.9999999999999961,False,7.806302309036255,3.0.0
4,5,15,23,65,sa,75,0.9057338844400412,0.5175622196800236,75,77,-0.026666666666666616,0.9999999999999959,False,2.1205646991729736,3.0.0
4,5,15,23,65,ga,75,0.9057338844400412,0.5175622196800236,75,75,0.0,0.9999999999999959,False,6.316875457763672,3.0.0
4,5,15,24,66,greedy,75,1.676550399722129,0.9580287998412166,75,75,0.0,0.9999999999999982,False,0.002005338668823242,3.0.0
4,5,15,24,66,rls,75,1.676550399722129,0.9580287998412166,75,75,0.0,0.9999999999999982,False,5.348462820053101,3.0.0
4,5,15,24,66,sa,75,1.676550399722129,0.9580287998412166,75,75,0.0,0.9999999999999982,False,2.1842105388641357,3.0.0
4,5,15,24,66,ga,75,1.676550399722129,0.9580287998412166,75,75,0.0,0.9999999999999982,False,8.086260557174683,3.0.0
4,5,15,25,67,greedy,75,0.6182225001099395,0.35327000006282255,75,75,0.0,0.9999999999999948,False,0.0019986629486083984,3.0.0
4,5,15,25,67,rls,75,0.6182225001099395,0.35327000006282255,75,75,0.0,0.9999999999999948,False,5.8931965827941895,3.0.0
4,5,15,25,67,sa,75,0.6182225001099395,0.35327000006282255,75,75,0.0,0.9999999999999948,False,2.426642417907715,3.0.0
4,5,15,25,67,ga,75,0.6182225001099395,0.35327000006282255,75,75,0.0,0.9999999999999948,False,7.008109092712402,3.0.0
4,5,15,26,68,greedy,75,1.3213043652764105,0.7550310658722346,75,75,0.0,0.9999999999999954,False,0.0031409263610839844,3.0.0
4,5,15,26,68,rls,75,1.3213043652764105,0.7550310658722346,75,75,0.0,0.9999999999999957,False,5.475987672805786,3.0.0
4,5,15,26,68,sa,75,1.3213043652764105,0.7550310658722346,75,75,0.0,0.9999999999999957,False,2.379671573638916,3.0.0
4,5,15,26,68,ga,75,1.3213043652764105,0.7550310658722346,75,75,0.0,0.9999999999999957,False,5.9473960399627686,3.0.0
4,5,15,27,69,greedy,75,1.28665262401455,0.7352300708654571,75,75,0.0,0.9999999999999931,False,0.0010139942169189453,3.0.0
4,5,15,27,69,rls,75,1.28665262401455,0.7352300708654571,75,75,0.0,0.9999999999999936,False,4.532265663146973,3.0.0
4,5,15,27,69,sa,75,1.28665262401455,0.7352300708654571,75,79,-0.05333333333333323,0.9999999999999936,False,1.9809632301330566,3.0.0
4,5,15,27,69,ga,75,1.28665262401455,0.7352300708654571,75,77,-0.026666666666666616,0.9999999999999936,False,9.960018873214722,3.0.0
4,5,15,28,70,greedy,75,0.004852488937339474,0.002772850821336842,75,75,0.0,0.9999999999999961,False,0.0021305084228515625,3.0.0
4,5,15,28,70,rls,75,0.004852488937339474,0.002772850821336842,75,75,0.0,0.9999999999999963,False,6.514610767364502,3.0.0
4,5,15,28,70,sa,75,0.004852488937339474,0.002772850821336842,75,75,0.0,0.9999999999999961,False,2.1501216888427734,3.0.0
4,5,15,28,70,ga,75,0.004852488937339474,0.002772850821336842,75,75,0.0,0.9999999999999961,False,6.185198068618774,3.0.0
4,5,15,29,71,greedy,75,0.9992228034397006,0.5709844591084003,75,75,0.0,0.9999999999999918,False,0.0022706985473632812,3.0.0
4,5,15,29,71,rls,75,0.9992228034397006,0.5709844591084003,75,75,0.0,0.9999999999999922,False,4.75232720375061,3.0.0
4,5,15,29,71,sa,75,0.9992228034397006,0.5709844591084003,75,75,0.0,0.9999999999999922,False,2.3895576000213623,3.0.0
4,5,15,29,71,ga,75,0.9992228034397006,0.5709844591084003,75,75,0.0,0.9999999999999922,False,6.47379994392395,3.0.0
4,5,15,30,72,greedy,75,1.0928890175089643,0.6245080100051225,75,75,0.0,0.9999999999999918,False,0.003091573715209961,3.0.0
4,5,15,30,72,rls,75,1.0928890175089643,0.6245080100051225,75,75,0.0,0.9999999999999918,False,5.424726724624634,3.0.0
4,5,15,30,72,sa,75,1.0928890175089643,0.6245080100051225,75,75,0.0,0.9999999999999918,False,2.0672950744628906,3.0.0
4,5,15,30,72,ga,75,1.0928890175089643,0.6245080100051225,75,75,0.0,0.9999999999999918,False,5.803979158401489,3.0.0
4,5,15,31,73,greedy,75,1.542803803975082,0.8816021737000469,75,75,0.0,0.9999999999999944,False,0.0009984970092773438,3.0.0
4,5,15,31,73,rls,75,1.542803803975082,0.8816021737000469,75,75,0.0,0.9999999999999944,False,5.052813529968262,3.0.0
4,5,15,31,73,sa,75,1.542803803975082,0.8816021737000469,75,75,0.0,0.9999999999999944,False,2.083852767944336,3.0.0
4,5,15,31,73,ga,75,1.542803803975082,0.8816021737000469,75,75,0.0,0.9999999999999944,False,6.721391916275024,3.0.0
4,5,15,32,74,greedy,75,0.5916627764215089,0.3380930150980051,75,75,0.0,0.999999999999994,False,0.003082752227783203,3.0.0
4,5,15,32,74,rls,75,0.5916627764215089,0.3380930150980051,75,75,0.0,0.9999999999999944,False,7.066057920455933,3.0.0
4,5,15,32,74,sa,75,0.5916627764215089,0.3380930150980051,75,77,-0.026666666666666616,0.9999999999999944,False,2.23220157623291,3.0.0
