experiment,n_qubits,depth,circuit_id,sample,base_entropy,perturbed_entropy,entropy_diff,base_gates,perturbed_gates,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
5,5,10,0,64,0.6422975499591169,0.8068676675923279,0.16457011763321094,50,50,47,0.06000000000000005,0.9999999999999966,False,0.0030291080474853516,3.0.0
5,5,10,0,65,0.6422975499591169,0.642297549959116,8.881784197001252e-16,50,50,50,0.0,0.9999999999999961,False,0.0009980201721191406,3.0.0
5,5,10,0,66,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,50,48,0.040000000000000036,0.9999999999999961,False,0.003998994827270508,3.0.0
5,5,10,0,67,0.6422975499591169,0.6422975499591165,4.440892098500626e-16,50,49,49,0.0,0.9999999999999963,False,0.0010051727294921875,3.0.0
5,5,10,0,68,0.6422975499591169,0.6422975499591156,1.3322676295501878e-15,50,50,50,0.0,0.9999999999999963,False,0.0019998550415039062,3.0.0
5,5,10,0,69,0.6422975499591169,0.6422975499591159,9.992007221626409e-16,50,50,50,0.0,0.9999999999999963,False,0.0015320777893066406,3.0.0
5,5,10,0,70,0.6422975499591169,0.6422975499591169,0.0,50,49,49,0.0,0.9999999999999961,False,0.0015134811401367188,3.0.0
5,5,10,0,71,0.6422975499591169,0.6422975499591159,9.992007221626409e-16,50,50,50,0.0,0.9999999999999968,False,0.0015189647674560547,3.0.0
5,5,10,0,72,0.6422975499591169,0.8721262599061078,0.2298287099469909,50,50,50,0.0,0.9999999999999961,False,0.0015232563018798828,3.0.0
5,5,10,0,73,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,49,49,0.0,0.9999999999999966,False,0.003075122833251953,3.0.0
5,5,10,0,74,0.6422975499591169,0.9313455778634432,0.28904802790432627,50,50,50,0.0,0.9999999999999961,False,0.0019996166229248047,3.0.0
5,5,10,0,75,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,49,49,0.0,0.9999999999999966,False,0.002254486083984375,3.0.0
5,5,10,0,76,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,50,50,0.0,0.9999999999999963,False,0.0020017623901367188,3.0.0
5,5,10,0,77,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,49,49,0.0,0.9999999999999966,False,0.0010161399841308594,3.0.0
5,5,10,0,78,0.6422975499591169,0.6422975499591159,9.992007221626409e-16,50,50,50,0.0,0.9999999999999963,False,0.0010247230529785156,3.0.0
5,5,10,0,79,0.6422975499591169,0.6422975499591165,4.440892098500626e-16,50,49,49,0.0,0.9999999999999963,False,0.00254058837890625,3.0.0
5,5,10,0,80,0.6422975499591169,0.6422975499591157,1.2212453270876722e-15,50,49,49,0.0,0.9999999999999963,False,0.003092050552368164,3.0.0
5,5,10,0,81,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,50,50,0.0,0.9999999999999966,False,0.0015823841094970703,3.0.0
5,5,10,0,82,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,50,50,0.0,0.9999999999999961,False,0.0026025772094726562,3.0.0
5,5,10,0,83,0.6422975499591169,0.6422975499591166,3.3306690738754696e-16,50,50,50,0.0,0.9999999999999966,False,0.001995563507080078,3.0.0
5,5,10,0,84,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,50,50,0.0,0.9999999999999961,False,0.002008676528930664,3.0.0
5,5,10,0,85,0.6422975499591169,0.8721262599061077,0.22982870994699078,50,49,49,0.0,0.9999999999999961,False,0.0015370845794677734,3.0.0
5,5,10,0,86,0.6422975499591169,0.642297549959116,8.881784197001252e-16,50,50,48,0.040000000000000036,0.9999999999999963,False,0.0020058155059814453,3.0.0
5,5,10,0,87,0.6422975499591169,0.6422975499591168,1.1102230246251565e-16,50,49,49,0.0,0.9999999999999966,False,0.003020763397216797,3.0.0
5,5,10,0,88,0.6422975499591169,0.6422975499591168,1.1102230246251565e-16,50,49,49,0.0,0.9999999999999966,False,0.0015158653259277344,3.0.0
5,5,10,0,89,0.6422975499591169,0.6422975499591159,9.992007221626409e-16,50,50,49,0.020000000000000018,0.999999999999997,False,0.0015168190002441406,3.0.0
5,5,10,0,90,0.6422975499591169,0.642297549959116,8.881784197001252e-16,50,50,49,0.020000000000000018,0.9999999999999963,False,0.0035538673400878906,3.0.0
5,5,10,0,91,0.6422975499591169,0.5932271515707594,0.04907039838835747,50,50,49,0.020000000000000018,0.9999999999999963,False,0.003334522247314453,3.0.0
5,5,10,0,92,0.6422975499591169,0.6422975499591169,0.0,50,49,49,0.0,0.9999999999999966,False,0.0015180110931396484,3.0.0
5,5,10,0,93,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,49,49,0.0,0.9999999999999963,False,0.002032041549682617,3.0.0
5,5,10,0,94,0.6422975499591169,0.6422975499591157,1.2212453270876722e-15,50,49,49,0.0,0.9999999999999966,False,0.0020072460174560547,3.0.0
5,5,10,0,95,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,50,50,0.0,0.9999999999999963,False,0.0020089149475097656,3.0.0
5,5,10,0,96,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,50,50,0.0,0.9999999999999963,False,0.0010063648223876953,3.0.0
5,5,10,0,97,0.6422975499591169,0.642297549959116,8.881784197001252e-16,50,49,49,0.0,0.9999999999999963,False,0.001996278762817383,3.0.0
5,5,10,0,98,0.6422975499591169,0.6422975499591164,5.551115123125783e-16,50,49,49,0.0,0.9999999999999966,False,0.0015263557434082031,3.0.0
5,5,10,0,99,0.6422975499591169,0.6422975499591161,7.771561172376096e-16,50,49,49,0.0,0.9999999999999966,False,0.0029044151306152344,3.0.0
5,5,10,1,0,0.841894323979751,0.841894323979751,0.0,50,49,49,0.0,0.9999999999999974,False,0.008527278900146484,3.0.0
5,5,10,1,1,0.841894323979751,0.8595682531845857,0.017673929204834793,50,50,50,0.0,0.999999999999997,False,0.003515481948852539,3.0.0
5,5,10,1,2,0.841894323979751,0.8418943239797505,4.440892098500626e-16,50,50,50,0.0,0.9999999999999974,False,0.003031492233276367,3.0.0
5,5,10,1,3,0.841894323979751,0.841894323979751,0.0,50,49,49,0.0,0.9999999999999974,False,0.003529787063598633,3.0.0
