experiment,n_qubits,depth,entanglement_density,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
2,6,20,0.05,51,93,120,1.0731478787779933e-14,4.2925915151119736e-15,120,120,0.0,0.9999999999999871,False,0.005005598068237305,3.0.0
2,6,20,0.05,52,94,120,9.930622161826211e-15,3.972248864730485e-15,120,120,0.0,0.9999999999999842,False,0.006593942642211914,3.0.0
2,6,20,0.05,53,95,120,0.3989442252856048,0.15957769011424192,120,120,0.0,0.9999999999999926,False,0.0043506622314453125,3.0.0
2,6,20,0.05,54,96,120,0.0005693421185387785,0.0002277368474155114,120,120,0.0,0.9999999999999869,False,0.00917196273803711,3.0.0
2,6,20,0.05,55,97,120,8.809422885490996e-15,3.5237691541963987e-15,120,120,0.0,0.9999999999999878,False,0.006917715072631836,3.0.0
2,6,20,0.05,56,98,120,0.9741216327719623,0.38964865310878494,120,120,0.0,0.999999999999986,False,0.013300180435180664,3.0.0
2,6,20,0.05,57,99,120,8.008566259537273e-15,3.203426503814909e-15,120,120,0.0,0.9999999999999895,False,0.007233858108520508,3.0.0
2,6,20,0.05,58,100,120,7.848394934346527e-15,3.1393579737386108e-15,120,120,0.0,0.9999999999999882,False,0.0044596195220947266,3.0.0
2,6,20,0.05,59,101,120,0.587828104650615,0.23513124186024598,120,120,0.0,0.9999999999999882,False,0.0030312538146972656,3.0.0
2,6,20,0.05,60,102,120,0.40100594158250824,0.1604023766330033,120,120,0.0,0.9999999999999899,False,0.010698318481445312,3.0.0
2,6,20,0.05,61,103,120,1.0090793487016954e-14,4.036317394806782e-15,120,120,0.0,0.9999999999999858,False,0.006946563720703125,3.0.0
2,6,20,0.05,62,104,120,1.02509648122077e-14,4.10038592488308e-15,120,120,0.0,0.9999999999999853,False,0.0026602745056152344,3.0.0
2,6,20,0.05,63,105,120,0.01000291880486412,0.004001167521945648,120,120,0.0,0.9999999999999869,False,0.0030019283294677734,3.0.0
2,6,20,0.05,64,106,120,0.8584278029800487,0.3433711211920195,120,120,0.0,0.9999999999999887,False,0.00514984130859375,3.0.0
2,6,20,0.05,65,107,120,9.289936861063231e-15,3.715974744425292e-15,120,120,0.0,0.9999999999999856,False,0.004069805145263672,3.0.0
2,6,20,0.05,66,108,120,8.008566259537273e-15,3.203426503814909e-15,120,120,0.0,0.9999999999999887,False,0.004027128219604492,3.0.0
2,6,20,0.05,67,109,120,0.20820883127497983,0.08328353250999193,120,120,0.0,0.9999999999999882,False,0.006092548370361328,3.0.0
2,6,20,0.05,68,110,120,0.7541529322601241,0.30166117290404965,120,120,0.0,0.9999999999999853,False,0.004515171051025391,3.0.0
2,6,20,0.05,69,111,120,0.646867352169523,0.2587469408678092,120,120,0.0,0.9999999999999903,False,0.004828691482543945,3.0.0
2,6,20,0.05,70,112,120,8.489080235109506e-15,3.3956320940438023e-15,120,120,0.0,0.9999999999999869,False,0.0035300254821777344,3.0.0
2,6,20,0.05,71,113,120,6.4068530076298215e-15,2.5627412030519286e-15,120,120,0.0,0.9999999999999903,False,0.006075143814086914,3.0.0
2,6,20,0.05,72,114,120,6.727195658011311e-15,2.6908782632045245e-15,120,120,0.0,0.9999999999999891,False,0.0030062198638916016,3.0.0
2,6,20,0.05,73,115,120,0.8946525682249151,0.35786102728996605,120,120,0.0,0.9999999999999873,False,0.004552602767944336,3.0.0
2,6,20,0.05,74,116,120,9.289936861063231e-15,3.715974744425292e-15,120,120,0.0,0.9999999999999871,False,0.005298614501953125,3.0.0
2,6,20,0.05,75,117,120,6.727195658011311e-15,2.6908782632045245e-15,120,120,0.0,0.9999999999999885,False,0.0035431385040283203,3.0.0
2,6,20,0.05,76,118,120,0.9661772364624721,0.38647089458498884,120,120,0.0,0.999999999999986,False,0.0066301822662353516,3.0.0
2,6,20,0.05,77,119,120,0.31495200542225243,0.12598080216890098,120,120,0.0,0.9999999999999873,False,0.0035130977630615234,3.0.0
2,6,20,0.05,78,120,120,0.30251594141798493,0.12100637656719397,120,120,0.0,0.9999999999999891,False,0.004289388656616211,3.0.0
2,6,20,0.05,79,121,120,1.1372164088542912e-14,4.548865635417165e-15,120,120,0.0,0.9999999999999847,False,0.0029976367950439453,3.0.0
2,6,20,0.05,80,122,120,1.5782600209968942,0.6313040083987577,120,120,0.0,0.9999999999999869,False,0.003709077835083008,3.0.0
2,6,20,0.05,81,123,120,9.129765535872487e-15,3.651906214348995e-15,120,120,0.0,0.9999999999999865,False,0.005096435546875,3.0.0
