experiment_id,mode,n_qubits,depth,seed_index,seed_base,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
E29_multi_seed_e04,smoke,5,15,1,142,0,142,greedy,75,1.7897446722527743,1.0227112412872996,75,75,0.0,0.9999999999999938,True,0.001573801040649414,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,0,142,rls,75,1.7897446722527743,1.0227112412872996,75,205,-1.7333333333333334,0.999999999999992,True,16.280112504959106,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,0,142,sa,75,1.7897446722527743,1.0227112412872996,75,93,-0.24,0.9999999999999933,True,2.6782665252685547,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,0,142,ga,75,1.7897446722527743,1.0227112412872996,75,81,-0.08000000000000007,0.9999999999999938,True,7.962353944778442,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,1,143,greedy,75,0.08776881579127267,0.050153609023584386,75,75,0.0,0.9999999999999947,True,0.00099945068359375,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,1,143,rls,75,0.08776881579127267,0.050153609023584386,75,193,-1.5733333333333333,0.9999999999999922,True,17.590575218200684,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,1,143,sa,75,0.08776881579127267,0.050153609023584386,75,91,-0.21333333333333337,0.9999999999999942,True,2.6855709552764893,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,1,143,ga,75,0.08776881579127267,0.050153609023584386,75,81,-0.08000000000000007,0.9999999999999948,True,5.980240345001221,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,2,144,greedy,75,0.8555015108536399,0.4888580062020799,75,75,0.0,0.9999999999999931,True,0.0018398761749267578,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,2,144,rls,75,0.8555015108536399,0.4888580062020799,75,207,-1.7599999999999998,0.9999999999999873,True,11.725521802902222,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,2,144,sa,75,0.8555015108536399,0.4888580062020799,75,99,-0.32000000000000006,0.9999999999999913,True,1.9786972999572754,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,2,144,ga,75,0.8555015108536399,0.4888580062020799,75,85,-0.1333333333333333,0.9999999999999927,True,4.575014352798462,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,3,145,greedy,75,1.401072137320611,0.800612649897492,75,75,0.0,0.9999999999999936,True,0.0015137195587158203,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,3,145,rls,75,1.401072137320611,0.800612649897492,75,211,-1.8133333333333335,0.9999999999999899,True,8.50085735321045,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,3,145,sa,75,1.401072137320611,0.800612649897492,75,87,-0.15999999999999992,0.9999999999999933,True,1.3641993999481201,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,3,145,ga,75,1.401072137320611,0.800612649897492,75,79,-0.05333333333333323,0.9999999999999936,True,3.668715000152588,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,4,146,greedy,75,0.1850585306491022,0.10574773179948696,75,75,0.0,0.9999999999999938,True,0.0009992122650146484,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,4,146,rls,75,0.1850585306491022,0.10574773179948696,75,219,-1.92,0.9999999999999873,True,8.470101356506348,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,4,146,sa,75,0.1850585306491022,0.10574773179948696,75,91,-0.21333333333333337,0.9999999999999936,True,1.208177089691162,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,4,146,ga,75,0.1850585306491022,0.10574773179948696,75,83,-0.10666666666666669,0.9999999999999931,True,3.7427639961242676,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,5,147,greedy,75,0.5690661797822074,0.3251806741612614,75,75,0.0,0.9999999999999959,True,0.0009601116180419922,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,5,147,rls,75,0.5690661797822074,0.3251806741612614,75,199,-1.6533333333333333,0.9999999999999918,True,8.497459888458252,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,5,147,sa,75,0.5690661797822074,0.3251806741612614,75,93,-0.24,0.9999999999999957,True,1.3612654209136963,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,5,147,ga,75,0.5690661797822074,0.3251806741612614,75,81,-0.08000000000000007,0.9999999999999959,True,4.01942253112793,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,6,148,greedy,75,0.8513054061012195,0.4864602320578397,75,75,0.0,0.9999999999999936,True,0.001903533935546875,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,6,148,rls,75,0.8513054061012195,0.4864602320578397,75,209,-1.7866666666666666,0.9999999999999906,True,8.628983974456787,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,6,148,sa,75,0.8513054061012195,0.4864602320578397,75,85,-0.1333333333333333,0.9999999999999931,True,1.2666480541229248,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,6,148,ga,75,0.8513054061012195,0.4864602320578397,75,83,-0.10666666666666669,0.9999999999999931,True,3.6214470863342285,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,7,149,greedy,75,1.4535716145753383,0.8306123511859076,75,75,0.0,0.9999999999999952,True,0.00099945068359375,3.0.0
E29_multi_seed_e04,smoke,5,15,1,142,7,149,rls,75,1.4535716145753383,0.8306123511859076,75,197,-1.6266666666666665,0.9999999999999925,True,7.969938516616821,3.0.0
