n_qubits,depth,success_rate,mean_reduction,mean_entropy,n_trials
5,6,0.08,0.13666666666666663,0.07340543428104278,50
5,7,0.2,0.13542857142857137,0.2049812502063926,50
5,8,0.06,0.13349999999999995,0.32188487270352667,50
5,9,0.14,0.14,0.38855837014424915,50
5,10,0.08,0.13719999999999996,0.3733271157166466,50
5,11,0.14,0.14254545454545453,0.5478360740671393,50
5,12,0.12,0.1446666666666666,0.59517692247639,50
5,13,0.24,0.14584615384615382,0.6532139594542639,50
5,14,0.14,0.1434285714285714,0.7060090166867217,50
5,15,0.2,0.14559999999999995,0.7355122749367914,50
5,16,0.14,0.14249999999999996,0.8090782325065153,50
5,17,0.16,0.14117647058823526,0.7607448153392065,50
5,18,0.1,0.1413333333333333,0.8709737941168041,50
5,19,0.1,0.14021052631578942,0.8444395636560289,50
5,20,0.06,0.13959999999999997,0.8221647723009586,50
5,21,0.08,0.14190476190476187,0.8309534042392259,50
5,22,0.06,0.1427272727272727,0.8707757185298793,50
5,23,0.08,0.1419130434782608,0.8111746000616133,50
5,24,0.06,0.14066666666666663,0.9254971531171473,50
5,25,0.1,0.14079999999999995,0.9215629015620689,50
5,26,0.12,0.14092307692307687,0.9232144319018518,50
5,27,0.14,0.14251851851851846,0.9429479867520328,50
5,28,0.12,0.14085714285714285,0.9268853029054364,50
5,29,0.12,0.14179310344827584,0.9478051665072585,50
5,30,0.1,0.14133333333333328,0.9399836680238066,50
6,1,0.38,0.13333333333333333,-5.1254824061038735e-18,50
6,2,0.16,0.13666666666666663,1.7939188421363534e-16,50
6,3,0.4,0.12666666666666665,0.045134176419322845,50
6,4,0.22,0.12666666666666665,0.12800000000000045,50
6,5,0.12,0.13333333333333328,0.025098073754848283,50
6,6,0.16,0.12777777777777774,0.16940897388930154,50
6,7,0.08,0.13333333333333333,0.09368942038167503,50
6,8,0.18,0.13333333333333328,0.23575937149514828,50
6,9,0.1,0.1311111111111111,0.26696943393784855,50
6,10,0.1,0.13799999999999993,0.3150496398087141,50
6,11,0.12,0.13636363636363633,0.3594273491358217,50
6,12,0.08,0.13499999999999995,0.40935061131260864,50
6,13,0.14,0.13333333333333328,0.3786833493241632,50
6,14,0.1,0.1333333333333333,0.35710074227327326,50
6,15,0.08,0.13599999999999998,0.25880083754279753,50
6,16,0.16,0.1345833333333333,0.38735864711780016,50
6,17,0.04,0.1372549019607843,0.42768341390803405,50
6,18,0.1,0.13666666666666663,0.44583785917960844,50
6,19,0.04,0.13614035087719295,0.4228330461587073,50
6,20,0.02,0.1363333333333333,0.531373214475629,50
6,21,0.04,0.13460317460317459,0.5367354038741214,50
6,22,0.02,0.13606060606060602,0.5640974005030902,50
6,23,0.04,0.136231884057971,0.6714075012774419,50
6,24,0.04,0.13638888888888887,0.5976107671155811,50
6,25,0.0,0.1378666666666666,0.592690000436816,50
6,26,0.04,0.1379487179487179,0.7284310941349906,50
6,27,0.04,0.1365432098765432,0.7498495132662844,50
6,28,0.04,0.13761904761904759,0.7949468150270477,50
6,29,0.04,0.13793103448275856,0.7943911055610948,50
6,30,0.0,0.13755555555555554,0.7356627157317932,50
7,1,0.46,0.14857142857142855,1.86381178403777e-17,50
7,2,0.32,0.1542857142857143,1.3279658961269107e-16,50
7,3,0.2,0.14857142857142855,2.795717676056654e-16,50
7,4,0.36,0.14857142857142858,0.14677034109850395,50
7,5,0.22,0.1485714285714285,0.1487531586036283,50
7,6,0.1,0.14761904761904762,0.03521274135066051,50
7,7,0.2,0.1412244897959183,0.19347944442314435,50
7,8,0.2,0.1442857142857143,0.23759382629110945,50
